"wdpaid","wdpa_pid","name","iso3","country","year1","year2","area_km1","area_km2","area_change_km","area_change_perc","wdpa_yr"
101721,"101721","Huchsduwachsdu Nuyem Jees/Kitlope Heritage","CAN","Canada",2008,2010,3211.2,5.3,-3205.9,-99.8349526656702,2015
101775,"101775","Mianhua and Huaping Islets Wildlife Refuge","TWN","Taiwan, Province of China",2008,2016,2.26,0.229307,-2.030693,-89.8536725663717,2017
101803,"101803","Teluk Kupang","IDN","Indonesia",2008,2010,500,727.27,227.27,45.454,2017
101803,"101803","Teluk Kupang","IDN","Indonesia",2011,2012,727.27,500,-227.27,-31.2497421865332,2017
101808,"101808","Pulau Sangalaki","IDN","Indonesia",2008,2010,2.8,0.67,-2.13,-76.0714285714286,2017
10187,"10187","Ban dao Son Tra","VNM","Viet Nam",2008,2010,43.7,4.64,-39.06,-89.3821510297483,2017
101985,"101985","Laajalahden luonnonsuojelualue","FIN","Finland",2016,2017,1.267971264,0.81640005367999,-0.45157121032001,-35.6136785699277,2017
101990,"101990","Vaisakon luonnonsuojelualue","FIN","Finland",2016,2017,0.099017132,0.027599999795016,-0.071417132204984,-72.1260359318264,2017
101994,"101994","Uddskatanin luonnonsuojelualue","FIN","Finland",2016,2017,0.009956043,0.004800000253013,-0.005156042746987,-51.7880722992759,2017
101998,"101998","Langinkosken luonnonsuojelualue","FIN","Finland",2015,2017,0.001199,0.003599999104298,0.002400999104298,200.250133803002,2017
10201,"10201","Bhagwan Mahavir","IND","India",2008,2011,148.52,-9,-157.52,-106.059789927283,2017
102190,"102190","Breidafjordur","ISL","Iceland",2008,2011,200,2874,2674,1337,2017
102195,"102195","Skrudur","ISL","Iceland",2008,2010,0.92,0.46,-0.46,-50,2017
102252,"102252","Golfo de Montijo","PAN","Panama",2008,2012,864.74,566.91,-297.83,-34.4415662511275,2017
102254,"102254","San San Pond Sak","PAN","Panama",2008,2010,173.95,1.36,-172.59,-99.2181661396953,2017
102255,"102255","Punta Patiño","PAN","Panama",2008,2010,131.98,90.1,-41.88,-31.7320806182755,2017
102299,"102299","T�rraba Sierpe","CRI","Costa Rica",2006,2007,329.6,270.54,-59.06,-17.9186893203883,2009
102300,"102300","Cabo Blanco","CRI","Costa Rica",2008,2010,11.72,16.29,4.57,38.9931740614334,2017
102310,"102310","Las Baulas de Guanacaste","CRI","Costa Rica",2006,2007,4,222.326,218.326,5458.15,2017
102321,"102321","Iguanita (estatal)","CRI","Costa Rica",2006,2007,1,4.4515,3.4515,345.15,2017
102321,"102321","Iguanita (estatal)","CRI","Costa Rica",2008,2010,4.4515,0.37,-4.0815,-91.6881949904527,2017
102332,"102332","Bahía Junquillal (estatal)","CRI","Costa Rica",2006,2007,4.98,4.4515,-0.5285,-10.6124497991968,2017
102332,"102332","Bahía Junquillal (estatal)","CRI","Costa Rica",2008,2010,4.4515,0.55,-3.9015,-87.6446141749972,2017
102357,"102357","Limoncito (mixto)","CRI","Costa Rica",2008,2010,10.56,2.21,-8.35,-79.0719696969697,2017
102367,"102367","Piedras Blancas","CRI","Costa Rica",2008,2010,148.2849,13.56,-134.7249,-90.855441113694,2017
1024,"1024","Biscayne","USA","United States of America",2008,2011,729,-9,-738,-101.234567901235,2017
1024,"1024","Biscayne","USA","United States of America",2011,2016,-9,676.702,685.702,-7618.91111111111,2017
103157,"103157","Huatulco","MEX","Mexico",2008,2010,118.91,46.77,-72.14,-60.6677318980742,2017
103157,"103157","Huatulco","MEX","Mexico",2014,2015,46.77,55.16,8.38999999999999,17.9388496899722,2017
103168,"103168","Yum Balam","MEX","Mexico",2008,2010,1540.52,1001.52,-539,-34.9881858073897,2017
10325,"10325","Magapit","PHL","Philippines",2005,2006,45.54,34.82,-10.72,-23.5397452788757,2017
10331,"10331","Ba Mun","VNM","Viet Nam",2008,2010,20,6.05,-13.95,-69.75,2015
103337,"103337","Burehällorna","SWE","Sweden",2008,2010,0.1667,0.1016,-0.0651,-39.0521895620876,2017
103338,"103338","Sladan","SWE","Sweden",2008,2010,6.2039,4.5036,-1.7003,-27.4069536904206,2017
103347,"103347","Glumslövs naturvårdsområde","SWE","Sweden",2008,2010,6.7008,0.5098,-6.191,-92.3919531996179,2017
103351,"103351","Eriksberg","SWE","Sweden",2008,2010,8.9085,1.0711,-7.8374,-87.9766515126003,2017
103351,"103351","Eriksberg","SWE","Sweden",2014,2015,1.0711,0.881766,-0.189334,-17.676594155541,2017
103352,"103352","Knösö","SWE","Sweden",2008,2010,0.6765,0.2966,-0.3799,-56.1566888396157,2017
103357,"103357","Hörsne prästänge","SWE","Sweden",2008,2010,4.1515,2.2432,-1.9083,-45.9665181259786,2017
103357,"103357","Hörsne prästänge","SWE","Sweden",2011,2012,2.2432,0.096843,-2.146357,-95.6828191868759,2017
103359,"103359","Gotlandskusten","SWE","Sweden",2008,2010,108.0571,0.7619,-107.2952,-99.2949098208262,2017
103359,"103359","Gotlandskusten","SWE","Sweden",2014,2015,0.7619,0.92571,0.16381,21.5001968762305,2017
103381,"103381","Ören","SWE","Sweden",2008,2010,1.175,0.0983,-1.0767,-91.6340425531915,2017
103382,"103382","Långängen-Elfvik","SWE","Sweden",2008,2010,3.2163,0.563,-2.6533,-82.4954139850138,2017
103382,"103382","Långängen-Elfvik","SWE","Sweden",2014,2015,0.563,0.44001,-0.12299,-21.8454706927176,2017
103383,"103383","Tullgarn","SWE","Sweden",2007,2008,8.05,8.9228,0.8728,10.8422360248447,2017
103383,"103383","Tullgarn","SWE","Sweden",2008,2010,8.9228,0.5313,-8.3915,-94.0455910700677,2017
103383,"103383","Tullgarn","SWE","Sweden",2014,2016,0.5313,0.178365098,-0.352934902,-66.4285529832486,2017
103394,"103394","Bålsön","SWE","Sweden",2008,2010,7.2959,4.3185,-2.9774,-40.8092216176209,2017
103396,"103396","Skatön","SWE","Sweden",2008,2010,4.0174,2.8633,-1.1541,-28.7275352217852,2017
103396,"103396","Skatön","SWE","Sweden",2014,2015,2.8633,2.162499,-0.700801,-24.4752907484371,2017
10340,"10340","Cac Dao Vinh Ha Long","VNM","Viet Nam",2008,2010,10,271.43,261.43,2614.3,2017
103413,"103413","Åby","SWE","Sweden",2008,2010,0.635,0.227,-0.408,-64.251968503937,2017
103414,"103414","Ersdalen","SWE","Sweden",2008,2010,5.291,4.0286,-1.2624,-23.8593838593839,2017
103415,"103415","Klevekilen","SWE","Sweden",2008,2010,1.1784,0.2978,-0.8806,-74.7284453496266,2017
103416,"103416","Toftenäs","SWE","Sweden",2008,2010,5.0737,2.9536,-2.1201,-41.7860732798549,2017
103417,"103417","Gustavsbergsområdet","SWE","Sweden",2008,2010,2.7802,0.5838,-2.1964,-79.0015106826847,2017
103418,"103418","Älgöleran","SWE","Sweden",2008,2010,3.101,1.619,-1.482,-47.7910351499516,2017
103419,"103419","Gullmarn","SWE","Sweden",2006,2007,402.87,166.0886,-236.7814,-58.7736490679375,2017
103419,"103419","Gullmarn","SWE","Sweden",2008,2010,166.0886,117.5454,-48.5432,-29.2272919393625,2017
103420,"103420","Säby kile","SWE","Sweden",2008,2010,0.6307,0.3113,-0.3194,-50.6421436499128,2017
103422,"103422","Sandön","SWE","Sweden",2008,2010,1.3352,0.7663,-0.5689,-42.6078490113841,2017
103423,"103423","Nordön","SWE","Sweden",2008,2010,4.3281,3.3043,-1.0238,-23.6547214713154,2017
10376,"10376","Cu Lao Cham","VNM","Viet Nam",2008,2010,15.44,2.13,-13.31,-86.2046632124352,2017
10387,"10387","Binh Chau-Phuoc Buu","VNM","Viet Nam",2005,2008,54.74,112.93,58.19,106.302521008403,2017
10387,"10387","Binh Chau-Phuoc Buu","VNM","Viet Nam",2008,2010,112.93,1.48,-111.45,-98.6894536438502,2017
10398,"10398","Phu Quoc","VNM","Viet Nam",2005,2006,50,139.11,89.11,178.22,2017
10398,"10398","Phu Quoc","VNM","Viet Nam",2008,2011,139.11,-9,-148.11,-106.469700237222,2017
10399,"10399","Vo Doi","VNM","Viet Nam",2005,2006,20,33.94,13.94,69.7,2015
10400,"10400","Dat Mui (Nam Can)","VNM","Viet Nam",2005,2008,40,44.61,4.61,11.525,2015
10406,"10406","Hall-Hangvar","SWE","Sweden",2006,2007,21.61,28.885,7.275,33.6649699213327,2017
10406,"10406","Hall-Hangvar","SWE","Sweden",2008,2010,28.885,0.011,-28.874,-99.9619179504933,2017
10412,"10412","Ringsö","SWE","Sweden",2006,2007,18.25,20.445,2.195,12.027397260274,2017
10412,"10412","Ringsö","SWE","Sweden",2008,2010,20.445,12.354,-8.091,-39.5744680851064,2017
10413,"10413","Långö","SWE","Sweden",2006,2007,15.9,27.4239,11.5239,72.477358490566,2017
10413,"10413","Långö","SWE","Sweden",2008,2010,27.4239,20.6,-6.8239,-24.8830399760793,2017
10416,"10416","St�dsholmen","SWE","Sweden",2006,2007,16,12.618,-3.382,-21.1375,2014
10418,"10418","Hästholmen-Ytterön","SWE","Sweden",2008,2010,11.54,7.606,-3.934,-34.0901213171577,2017
10419,"10419","Tromtö","SWE","Sweden",2008,2010,12.303,8.673,-3.63,-29.5049987807852,2017
10421,"10421","Björkö","SWE","Sweden",2008,2010,9.8,6.851,-2.949,-30.0918367346939,2017
10423,"10423","Långviksskär","SWE","Sweden",2006,2007,23,38.986,15.986,69.5043478260869,2017
10424,"10424","Biskopsö","SWE","Sweden",2006,2007,40,51.241,11.241,28.1025,2017
10425,"10425","Sladö-Äskeskär","SWE","Sweden",2008,2010,20.156,17.569,-2.587,-12.8348878745783,2017
10427,"10427","Rågö","SWE","Sweden",2008,2010,15.592,13.195,-2.397,-15.3732683427399,2017
10428,"10428","Själbottna-Östra Lagnö","SWE","Sweden",2008,2010,5.322,3.82,-1.502,-28.2224727546035,2017
10429,"10429","Rörö","SWE","Sweden",2008,2010,4.059,2.463,-1.596,-39.320029563932,2017
10430,"10430","Väggö","SWE","Sweden",2008,2010,1.62,0.287,-1.333,-82.2839506172839,2017
10430,"10430","Väggö","SWE","Sweden",2014,2015,0.287,0.54003,0.25303,88.1637630662021,2017
10435,"10435","Nordingrå","SWE","Sweden",2006,2007,60,75.691,15.691,26.1516666666667,2017
10435,"10435","Nordingrå","SWE","Sweden",2008,2010,75.691,9.934,-65.757,-86.8755862652099,2017
10435,"10435","Nordingrå","SWE","Sweden",2014,2015,9.934,6.751468,-3.182532,-32.0367626333803,2017
10440,"10440","Holmöarna","SWE","Sweden",2008,2010,242.232,209.7572,-32.4748,-13.4064863436705,2017
10448,"10448","�le � la Brume","CAN","Canada",2008,2010,43.2,37.67,-5.53,-12.8009259259259,2015
10466,"10466","Rangitoto Island","NZL","New Zealand",2008,2010,23.33,2.51,-20.82,-89.2413201885984,2017
10468,"10468","Double Island (Moturehu)","NZL","New Zealand",2008,2010,1.2,0.31,-0.89,-74.1666666666667,2017
10498,"10498","Blumine Island","NZL","New Zealand",2008,2010,3.77,1.16,-2.61,-69.2307692307692,2017
10529,"10529","Islands In Paterson Inlet","NZL","New Zealand",2008,2010,1.26,0.18,-1.08,-85.7142857142857,2017
10538,"10538","Arnavon Islands","SLB","Solomon Islands",2011,2012,82.7,157.8,75.1,90.8101571946796,2017
10539,"10539","President Coolidge and Million Dollar Point","VUT","Vanuatu",2008,2010,1,1.85,0.85,85,2017
10539,"10539","President Coolidge and Million Dollar Point","VUT","Vanuatu",2011,2012,1.85,1,-0.85,-45.945945945946,2017
10542,"10542","Kalametiya Kalapuwa","LKA","Sri Lanka",2008,2010,7.123,6.22,-0.903,-12.6772427348027,2017
10547,"10547","Yukon Delta","USA","United States of America",2007,2008,77424.7,89030.84,11606.14,14.9902292162579,2017
10547,"10547","Yukon Delta","USA","United States of America",2008,2010,89030.84,9263.79,-79767.05,-89.594852749901,2017
10548,"10548","Kodiak","USA","United States of America",2006,2007,6703.2,7689.0272,985.827200000001,14.7068146556868,2017
10548,"10548","Kodiak","USA","United States of America",2008,2010,7689.0272,26.19,-7662.8372,-99.6593847398537,2017
10549,"10549","Becharof","USA","United States of America",2008,2010,4860,2.8,-4857.2,-99.9423868312757,2017
10552,"10552","Guam","GUM","Guam",2008,2012,61.35,25.39,-35.96,-58.6145069274654,2014
10553,"10553","War in the Pacific","GUM","Guam",2008,2011,7.79,4.05,-3.74,-48.01026957638,2014
10557,"10557","Dengie","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,25.473,2521.9,2496.427,9800.28657794527,2017
10557,"10557","Dengie","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,2521.9,25.219,-2496.681,-99,2017
10559,"10559","Rona and Sula Sgeir","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,1.3879,14.39,13.0021,936.818214568773,2017
10559,"10559","Rona and Sula Sgeir","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,14.39,0.1439,-14.2461,-99,2017
10561,"10561","Willapa","USA","United States of America",2008,2012,44.56,18,-26.56,-59.6050269299821,2017
10567,"10567","Bombay Hook","USA","United States of America",2008,2010,64.6606,51.73,-12.9306,-19.9976492640031,2017
10570,"10570","Prime Hook","USA","United States of America",2008,2012,35.7,20.5,-15.2,-42.5770308123249,2017
10572,"10572","Pea Island","USA","United States of America",2008,2012,127.6,10.4,-117.2,-91.8495297805643,2017
10574,"10574","Pelican Island","USA","United States of America",2011,2012,20.27,2.027,-18.243,-90,2017
10587,"10587","Kooragang","AUS","Australia",2007,2011,29.26,4.39,-24.87,-84.9965823650034,2012
10606,"10606","Coffin Bay","AUS","Australia",2008,2011,309.77,-9,-318.77,-102.905381412015,2017
106725,"106725","Etang de Biguglia","FRA","France",2008,2010,17.9,9.54,-8.36,-46.7039106145251,2017
106787,"106787","Gryt","SWE","Sweden",2006,2007,25.74,37.831,12.091,46.973581973582,2017
106788,"106788","Torrö","SWE","Sweden",2008,2010,10.9385,8.9005,-2.038,-18.6314394112538,2017
106790,"106790","Axmar","SWE","Sweden",2006,2007,45,52.346,7.346,16.3244444444444,2017
106790,"106790","Axmar","SWE","Sweden",2008,2010,52.346,40.322,-12.024,-22.9702365032667,2017
106842,"106842","Örefjärden-Snöanskärgården","SWE","Sweden",2015,2016,53.712607,465.9823018,412.2696948,767.547355874944,2017
106872,"106872","Haparanda Skärgård","SWE","Sweden",2008,2010,74.3132,42.2095,-32.1037,-43.2005350328071,2017
106872,"106872","Haparanda Skärgård","SWE","Sweden",2014,2015,42.2095,66.874106,24.664606,58.4337791255523,2017
106875,"106875","Björnö","SWE","Sweden",2008,2010,9.4911,6.327,-3.1641,-33.3375478079464,2017
106878,"106878","Hållnäskusten","SWE","Sweden",2008,2010,14.478,10.248,-4.23,-29.2167426440116,2017
10754,"10754","Gorgona","COL","Colombia",2006,2007,492,616.875,124.875,25.3810975609756,2017
10767,"10767","San Esteban","VEN","Venezuela, Bolivarian Republic of",2008,2010,435,2.37,-432.63,-99.4551724137931,2017
10786,"10786","Guarapiche","VEN","Venezuela, Bolivarian Republic of",2008,2010,3700,6.67,-3693.33,-99.8197297297297,2017
10822,"10822","Estação Ecológica De Carijós","BRA","Brazil",2008,2010,7.12,0.02,-7.1,-99.7191011235955,2017
10843,"10843","Refugio De Vida Silvestre Ilha Dos Lobos","BRA","Brazil",2006,2007,0.02,0.02275,0.00275,13.75,2017
10843,"10843","Refugio De Vida Silvestre Ilha Dos Lobos","BRA","Brazil",2008,2010,0.02275,0.05,0.02725,119.78021978022,2017
10877,"10877","Isla de Los Estados","ARG","Argentina",2008,2010,1040,48.45,-991.55,-95.3413461538461,2017
109032,"109032","Réserve Naturelle Nationale des Terres Australes Française","ATF","French Southern Territories",2015,2016,22700,15700,-7000,-30.8370044052863,2017
10914,"10914","Isla Cañas","PAN","Panama",2008,2010,242.46,195.22,-47.24,-19.4836261651406,2017
10936,"10936","Capel Island and Knockadoon","IRL","Ireland",2008,2010,1.43,1.59,0.16,11.1888111888112,2014
10940,"10940","Brijuni","HRV","Croatia",2008,2010,33.85,26.51,-7.34,-21.6838995568685,2017
10941,"10941","Ainsdale Sand Dunes","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,4.912,127.6,122.688,2497.71986970684,2017
10941,"10941","Ainsdale Sand Dunes","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,127.6,1.276,-126.324,-99,2017
10942,"10942","Arne Reedbeds","GBR","United Kingdom of Great Britain and Northern Ireland",2006,2007,0.11,0.096,-0.014,-12.7272727272727,2017
10942,"10942","Arne Reedbeds","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,0.096,0.002,-0.094,-97.9166666666667,2017
10948,"10948","Blackwater Estuary","GBR","United Kingdom of Great Britain and Northern Ireland",2004,2005,11,6.46,-4.54,-41.2727272727273,2017
10948,"10948","Blackwater Estuary","GBR","United Kingdom of Great Britain and Northern Ireland",2006,2007,6.46,10.927,4.467,69.1486068111455,2017
10948,"10948","Blackwater Estuary","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,10.927,616.8,605.873,5544.73322961472,2017
10948,"10948","Blackwater Estuary","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,616.8,6.168,-610.632,-99,2017
10962,"10962","Colne Estuary","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,7.036,479.8,472.764,6719.21546333144,2017
10962,"10962","Colne Estuary","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,479.8,4.798,-475.002,-99,2017
10973,"10973","Gibraltar Point","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,4.38,168.6,164.22,3749.31506849315,2017
10973,"10973","Gibraltar Point","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,168.6,1.686,-166.914,-99,2017
10976,"10976","Hamford Water","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,14.277,740.3,726.023,5085.26301043637,2017
10976,"10976","Hamford Water","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,740.3,7.403,-732.897,-99,2017
10984,"10984","Leigh","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,2.575,198,195.425,7589.32038834951,2017
10984,"10984","Leigh","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,198,1.98,-196.02,-99,2017
10995,"10995","North Solent","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,7.834,208.2,200.366,2557.64615777381,2017
10995,"10995","North Solent","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,208.2,2.082,-206.118,-99,2017
10997,"10997","Orfordness-havergate","GBR","United Kingdom of Great Britain and Northern Ireland",2006,2007,2.38,9.038,6.658,279.747899159664,2017
10997,"10997","Orfordness-havergate","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,9.038,41.9,32.862,363.598141181677,2017
10997,"10997","Orfordness-havergate","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,41.9,0.419,-41.481,-99,2017
11006,"11006","Saltfleetby Theddlethorpe","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,4.961,345.1,340.139,6856.25881878653,2017
11006,"11006","Saltfleetby Theddlethorpe","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,345.1,3.451,-341.649,-99,2017
11012,"11012","The Swale","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,2.15,0.8,-1.35,-62.7906976744186,2017
11046,"11046","Hermaness","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,9.7656,21.8,12.0344,123.232571475383,2017
11046,"11046","Hermaness","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,21.8,0.218,-21.582,-99,2017
11048,"11048","Isle of May","GBR","United Kingdom of Great Britain and Northern Ireland",2004,2005,0.701,0.57,-0.131,-18.6875891583452,2017
11048,"11048","Isle of May","GBR","United Kingdom of Great Britain and Northern Ireland",2006,2007,0.57,0.701,0.131,22.9824561403509,2017
11048,"11048","Isle of May","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,0.701,17.48,16.779,2393.58059914408,2017
11048,"11048","Isle of May","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,17.48,0.1748,-17.3052,-99,2017
11053,"11053","Loch Maree Islands","GBR","United Kingdom of Great Britain and Northern Ireland",2004,2005,2.6502,2,-0.6502,-24.5339974341559,2017
11059,"11059","Nigg and Udale Bays","GBR","United Kingdom of Great Britain and Northern Ireland",2008,2011,6.4836,648.36,641.8764,9900,2014
11059,"11059","Nigg and Udale Bays","GBR","United Kingdom of Great Britain and Northern Ireland",2011,2012,648.36,6.4836,-641.8764,-99,2014
